name,date,energy,amount,on_peak,mid_day,off_peak,correct_amount,error_rounding,error_calculation,session_type_DEVICE,session_type_MOBILE,session_type_WEB,port_type_CHADEMO,port_type_DCCOMBOTYP1,payment_mode_CREDITCARD,payment_mode_RFID,correct_duration
A,2018-11-22,57.3,29.35,1.0,5.0,1.0,29.35,0.0,0.0,5,2,0,6,1,6,1,7963
A,2018-11-23,159.11,81.82,1.0,5.0,3.0,81.82,0.0,0.0,1,8,0,9,0,4,5,19989
A,2018-11-24,149.27,79.46,6.0,5.0,2.0,79.45,0.0,1.0,9,4,0,11,2,10,3,19327
A,2018-11-25,136.67,71.38,3.0,6.0,3.0,71.38,0.0,0.0,5,7,0,10,2,8,4,21391
A,2018-11-26,198.89,104.71,3.0,4.0,3.0,104.71,0.0,0.0,3,7,0,9,1,5,5,26902
A,2018-11-27,157.73,83.68,2.0,5.0,3.0,83.68,0.0,0.0,0,10,0,8,2,5,5,21574
A,2018-11-28,233.34,122.77,4.0,5.0,3.0,122.77,0.0,0.0,4,8,0,12,0,8,4,25034
A,2018-11-29,183.61,93.71,2.0,8.0,3.0,93.71,0.0,0.0,8,5,0,13,0,8,5,23507
A,2018-11-30,223.24,117.87,3.0,9.0,4.0,117.87,0.0,0.0,6,10,0,16,0,11,5,27496
A,2018-12-01,228.73,120.58,5.0,16.0,3.0,120.59,0.0,1.0,9,15,0,23,1,8,16,30492
A,2018-12-02,100.32,51.72,2.0,4.0,1.0,51.72,0.0,0.0,1,6,0,6,1,3,4,16470
A,2018-12-03,118.34,60.85,4.0,5.0,2.0,60.84,0.0,0.0,3,8,0,8,3,5,6,17658
A,2018-12-04,210.65,109.87,4.0,9.0,2.0,109.87,0.0,0.0,8,7,0,13,2,10,5,24525
A,2018-12-05,241.95,129.63,4.0,5.0,5.0,129.63,0.0,0.0,5,9,0,13,1,9,5,27378
A,2018-12-06,181.84,91.22,1.0,7.0,8.0,91.22,0.0,0.0,8,8,0,15,1,10,6,24322
A,2018-12-07,259.42,134.53,3.0,8.0,4.0,134.53,0.0,0.0,7,8,0,14,1,8,7,30041
A,2018-12-08,219.74,110.21,2.0,7.0,4.0,110.21,0.0,0.0,5,8,0,12,1,8,5,27474
A,2018-12-09,97.61,51.13,4.0,5.0,2.0,51.13,0.0,0.0,8,3,0,11,0,9,2,17290
A,2018-12-10,140.68,74.11,2.0,6.0,4.0,74.11,0.0,0.0,4,8,0,11,1,6,6,16377
A,2018-12-11,258.88,134.56,3.0,5.0,2.0,134.57,0.0,1.0,5,5,0,9,1,6,4,29425
A,2018-12-12,179.89,95.81,4.0,4.0,5.0,95.81,0.0,0.0,5,8,0,10,3,7,6,29056
A,2018-12-13,188.23,101.45,3.0,2.0,5.0,101.45,0.0,0.0,2,8,0,7,3,6,4,25632
A,2018-12-14,187.96,100.53,4.0,6.0,6.0,100.53,0.0,0.0,5,11,0,14,2,11,5,25532
A,2018-12-15,205.41,106.58,2.0,11.0,4.0,106.59,0.0,1.0,8,9,0,16,1,11,6,28313
A,2018-12-16,197.48,100.82,5.0,6.0,3.0,100.82,0.0,0.0,4,10,0,13,1,11,3,28607
A,2018-12-17,187.33,96.22,7.0,8.0,4.0,96.22,0.0,0.0,9,10,0,19,0,13,6,23701
A,2018-12-18,207.21,112.5,4.0,6.0,2.0,112.5,0.0,0.0,5,7,0,11,1,9,3,27941
A,2018-12-19,137.99,72.33,7.0,8.0,3.0,72.33,0.0,0.0,10,8,0,16,2,13,5,19773
A,2018-12-20,180.8,98.36,3.0,5.0,5.0,98.36,0.0,0.0,6,7,0,13,0,8,5,21683
A,2018-12-21,174.59,92.0,4.0,7.0,2.0,92.01,0.0,0.0,8,5,0,11,2,11,2,23877
